Date, Minor Trend, Major Trend, Pivot Price, Interpolated Pivot Price
04/02/1997, Up, Up, , 6878.2055555555555555555555556, 
05/02/1997, Up, Up, 6913.14, 6913.14, 9
06/02/1997, Down, Up, 6683.4, 6683.4, 1
07/02/1997, Down, Up, , 6716.4361538461538461538461538, 
08/02/1997, Down, Up, , 6749.4723076923076923076923077, 
09/02/1997, Down, Up, , 6782.5084615384615384615384615, 
10/02/1997, Up, Up, , 6815.5446153846153846153846154, 
11/02/1997, Up, Up, , 6848.5807692307692307692307692, 
12/02/1997, Up, Up, , 6881.6169230769230769230769231, 
13/02/1997, Up, Up, , 6914.6530769230769230769230769, 
14/02/1997, Up, Up, , 6947.6892307692307692307692308, 
15/02/1997, Up, Up, , 6980.7253846153846153846153846, 
16/02/1997, Up, Up, , 7013.7615384615384615384615385, 
17/02/1997, Up, Up, , 7046.7976923076923076923076923, 
18/02/1997, Up, Up, , 7079.8338461538461538461538462, 
19/02/1997, Up, Up, 7112.87, 7112.87, 13
20/02/1997, Up, Up, , 7086.6691666666666666666666667, 
21/02/1997, Down, Up, , 7060.4683333333333333333333333, 
22/02/1997, Down, Up, , 7034.2675000000000000000000000, 
23/02/1997, Down, Up, , 7008.0666666666666666666666667, 
24/02/1997, Down, Up, , 6981.8658333333333333333333333, 
25/02/1997, Down, Up, , 6955.6650000000000000000000000, 
26/02/1997, Down, Up, , 6929.4641666666666666666666667, 
27/02/1997, Down, Up, , 6903.2633333333333333333333333, 
28/02/1997, Down, Up, , 6877.0625000000000000000000000, 
01/03/1997, Down, Up, , 6850.8616666666666666666666667, 
02/03/1997, Down, Up, , 6824.6608333333333333333333333, 
03/03/1997, Down, Up, 6798.46, 6798.46, 12
04/03/1997, Down, Up, , 6843.4375, 
05/03/1997, Down, Up, , 6888.4150, 
06/03/1997, Down, Up, , 6933.3925, 
07/03/1997, Up, Up, , 6978.3700, 
08/03/1997, Up, Up, , 7023.3475, 
09/03/1997, Up, Up, , 7068.3250, 
10/03/1997, Up, Up, , 7113.3025, 
11/03/1997, Up, Up, 7158.28, 7158.28, 8
12/03/1997, Up, Up, , 7116.737, 
13/03/1997, Down, Up, , 7075.194, 
14/03/1997, Down, Up, , 7033.651, 
15/03/1997, Down, Up, , 6992.108, 
16/03/1997, Down, Up, , 6950.565, 
17/03/1997, Down, Up, , 6909.022, 
18/03/1997, Down, Up, , 6867.479, 
19/03/1997, Down, Down, , 6825.936, 
20/03/1997, Down, Down, , 6784.393, 
21/03/1997, Down, Down, 6742.85, 6742.85, 10
22/03/1997, Down, Down, , 6803.3725, 
23/03/1997, Down, Down, , 6863.8950, 
24/03/1997, Down, Down, , 6924.4175, 
25/03/1997, Up, Down, 6984.94, 6984.94, 4
26/03/1997, Up, Down, , 6951.485, 
27/03/1997, Down, Down, , 6918.030, 
28/03/1997, Down, Down, , 6884.575, 
29/03/1997, Down, Down, , 6851.120, 
30/03/1997, Down, Down, , 6817.665, 
31/03/1997, Down, Down, , 6784.210, 
01/04/1997, Down, Down, , 6750.755, 
02/04/1997, Down, Down, , 6717.300, 
03/04/1997, Down, Down, , 6683.845, 
04/04/1997, Down, Down, , 6650.390, 
05/04/1997, Down, Down, , 6616.935, 
06/04/1997, Down, Down, , 6583.480, 
07/04/1997, Down, Down, , 6550.025, 
08/04/1997, Down, Down, , 6516.570, 
09/04/1997, Down, Down, , 6483.115, 
10/04/1997, Down, Down, , 6449.660, 
11/04/1997, Down, Down, , 6416.205, 
12/04/1997, Down, Down, , 6382.750, 
13/04/1997, Down, Down, , 6349.295, 
14/04/1997, Down, Down, 6315.84, 6315.84, 20
15/04/1997, Down, Down, , 6376.646, 
16/04/1997, Up, Down, , 6437.452, 
17/04/1997, Up, Down, , 6498.258, 
18/04/1997, Up, Down, , 6559.064, 
19/04/1997, Up, Down, , 6619.870, 
20/04/1997, Up, Down, , 6680.676, 
21/04/1997, Up, Down, , 6741.482, 
22/04/1997, Up, Down, , 6802.288, 
23/04/1997, Up, Down, , 6863.094, 
24/04/1997, Up, Down, 6923.9, 6923.9, 10
25/04/1997, Down, Down, 6681.08, 6681.08, 1
26/04/1997, Down, Down, , 6737.3436363636363636363636364, 
27/04/1997, Down, Down, , 6793.6072727272727272727272727, 
28/04/1997, Down, Down, , 6849.8709090909090909090909091, 
29/04/1997, Down, Down, , 6906.1345454545454545454545455, 
30/04/1997, Up, Up, , 6962.3981818181818181818181818, 
01/05/1997, Up, Up, , 7018.6618181818181818181818182, 
02/05/1997, Up, Up, , 7074.9254545454545454545454546, 
03/05/1997, Up, Up, , 7131.1890909090909090909090909, 
04/05/1997, Up, Up, , 7187.4527272727272727272727273, 
05/05/1997, Up, Up, , 7243.7163636363636363636363636, 
06/05/1997, Up, Up, 7299.98, 7299.98, 11
07/05/1997, Up, Up, , 7170.14, 
08/05/1997, Down, Up, 7040.3, 7040.3, 2
09/05/1997, Down, Up, , 7097.21, 
10/05/1997, Down, Up, , 7154.12, 
11/05/1997, Down, Up, , 7211.03, 
12/05/1997, Down, Up, , 7267.94, 
13/05/1997, Up, Up, , 7324.85, 
14/05/1997, Up, Up, 7381.76, 7381.76, 6
15/05/1997, Up, Up, , 7338.6966666666666666666666667, 
16/05/1997, Down, Up, , 7295.6333333333333333333333333, 
17/05/1997, Down, Up, , 7252.5700000000000000000000000, 
18/05/1997, Down, Up, , 7209.5066666666666666666666667, 
19/05/1997, Down, Up, , 7166.4433333333333333333333333, 
20/05/1997, Down, Up, 7123.38, 7123.38, 6
21/05/1997, Down, Up, , 7161.7325, 
22/05/1997, Down, Up, , 7200.0850, 
23/05/1997, Down, Up, , 7238.4375, 
24/05/1997, Down, Up, , 7276.7900, 
25/05/1997, Down, Up, , 7315.1425, 
26/05/1997, Down, Up, , 7353.4950, 
27/05/1997, Up, Up, , 7391.8475, 
28/05/1997, Up, Up, 7430.2, 7430.2, 8
