Long Term Days, Short Term Days, ICAGR, Max. Draw Down, Bliss,  Sharpe Ratio
80,40,0.0176811825390228,51.6483370465025,0.0342337886369957,-0.8404170208954
80,45,0.00868146401875794,60.0871254394062,0.0144481267081292,-1.06758059085293
80,50,0.0123695237260163,47.3685105932524,0.0261133896149531,-1.18775175502298
80,55,0.00218620649978423,47.957686566784,0.00455861543016634,-1.7714060204035
80,60,-0.000112260299140848,48.8400956445283,-0.000229852742218012,-1.82047445910434
80,65,0.00272165798973171,40.3112149962096,0.00675161487935212,-1.79186802623731
80,70,0.00226655728891207,34.9870827276709,0.0064782688701264,-2.79287690544596
80,75,0.00571173941637624,33.6243474720449,0.0169869152735973,-2.71565241709879
80,80,0.00336583422909794,36.2787694987013,0.00927769677860333,-2.80134255259056
80,85,0.00823942284285877,30.4496211771228,0.0270591965493783,-2.24493454377751
